name,location,mileage,price,Exterior color,interior color,Drivetrain,MPG,Fuel type,Transmission,Engine,Accidents or damage,1-owner vehicle,Personal use only
2005 Chrysler Crossfire Limited,"2232 N Rand Rd Palatine, IL 60074","55,285 mi.","$11,500 $200 price drop",Blue,Gray,Rear-wheel Drive,17–25,Gasoline,5-Speed Automatic,3.2L V6 18V MPFI SOHC,None reported,No,No
2024 Subaru WRX Premium,"2379 Aurora Avenue Naperville, IL 60540",7 mi.,"Not Priced MSRP $37,504",Sapphire Blue,–,All-wheel Drive,19–25,Gasoline,Automatic CVT,2.4L H4 16V GDI DOHC Turbo,,,
2022 Jaguar F-PACE S P250 AWD Automatic,,,,,,,,,,,,,
2024 Cadillac XT6 Premium Luxury AWD,,,,,,,,,,,,,
2024 RAM 2500 Laramie,"5950 North Western Avenue Chicago, IL 60659",28 mi.,"$63,735 MSRP $78,685 $2,494 price drop",Diamond Black,Black,Four-wheel Drive,–,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,,,
2016 Mercedes-Benz AMG GLA AMG GLA 45 4MATIC,"5125 Church St Skokie, IL 60077","61,399 mi.","$28,288 ",Midnight Black,Black,All-wheel Drive,22–29,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,At least 1 accident or damage reported,No,No
2024 Audi A5 Sportback S line Premium Plus,"7000 Golf Rd Morton Grove, IL 60053",13 mi.,"$56,455 ",–,–,All-wheel Drive,24–32,Hybrid,Automatic,Intercooled Turbo Gas/Electric I-4 2.0 L/121,,,
2024 Mercedes-Benz EQE 350 Base 4MATIC,"200 E Ogden Ave Westmont, IL 60559",10 mi.,"$86,965 ",Gray Metallic,Gray,AWD,1-Speed Automatic,Electric,W1KEG1CBXRF055527,RF055527,,,
2024 Mercedes-Benz EQE 350 Base 4MATIC,"200 E Ogden Ave Westmont, IL 60559",10 mi.,"$83,155 ",Graphite Gray Metallic,Black,AWD,1-Speed Automatic,Electric,W1KEG1CB7RF054710,RF054710,,,
2005 Chrysler Crossfire Base,"1030 Republic Dr Addison, IL 60101","40,454 mi.","$16,750 ",Black Clearcoat,Dark Slate Gray,Rear-wheel Drive,21–23,Gasoline,Manual,"3.2L V-6 premium unleaded, engine with 215HP",None reported,No,No
2009 Ford Shelby GT500 Base,"2150 Ogden Ave Downers Grove, IL 60515","29,911 mi.","$34,888 ",Torch Red Clearcoat,Charcoal Black,Rear-wheel Drive,14–20,Gasoline,6-Speed Manual,5.4L V8 32V MPFI DOHC Supercharged,None reported,No,No
2024 Tesla Model Y Performance Dual Motor All-Wheel Drive,,4 mi.,"$51,350 ",Stealth Grey,Black and White Premium Interior,All-wheel Drive,Automatic,Electric,,,,,
2023 Buick Enclave Essence,"100 W Golf Rd Schaumburg, IL 60195",5 mi.,"$41,500 ",Cherry Red Tintcoat,Whisper Beige,Front-wheel Drive,18–26,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,,,
2024 Ford Maverick Lariat,"9809 Indianapolis Blvd Highland, IN 46322",10 mi.,"$39,920 ",Hot Pepper Red Metallic Tinted Clearcoat,Desert,All-wheel Drive,22–28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,,,
2024 Chevrolet Silverado 1500 WT,"9700 Indianapolis Blvd Highland, IN 46322",3 mi.,"$50,475 ",Black,Jet Black,Four-wheel Drive,15–20,Gasoline,Automatic,"EcoTec3 5.3L V-8 gasoline direct injection, variable valve contr",,,
2016 McLaren 675LT Base,"27w110 North Ave West Chicago, IL 60185",852 mi.,"$349,800 ",Storm Grey,Carbon Black with McLaren Orange,Rear-wheel Drive,16–22,Gasoline,7-Speed Double Clutch,3.8L Twin Turbo V8 666hp 516ft. lbs.,None reported,No,No
2024 Dodge Durango R/T,"4550 W. Lincoln Highway Route 30 Matteson, IL 60443",10 mi.,"$65,055 MSRP $65,055",DB Black Crystal Clearcoat,Black,All-wheel Drive,14–22,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,,,
2008 Chrysler Crossfire Base,"19915 South La Grange Road Frankfort, IL 60423","39,690 mi.","$13,950 ",Black Clearcoat/Black Cloth Top,Dk Slate Gray/Cedar,Rear-wheel Drive,19–25,Gasoline,5-Speed Automatic,3.2L V6 SOHC 18V,None reported,No,No
2024 Mercedes-Benz GLA 250 Base 4MATIC,"1000 W Golf Road Hoffman Estates, IL 60169",11 mi.,"$48,575 MSRP $48,575",Polar White,Beige,All-wheel Drive,23–32,Gasoline,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,,,
2024 Acura MDX Technology Package,"1149 West Golf Road Hoffman Estates, IL 60169",11 mi.,"$59,000 MSRP $59,000",Liquid Carbon Metallic,Ebony,All-wheel Drive,19–25,Gasoline,Automatic,"3.5L V-6 gasoline direct injection, i-VTEC variable valve contro",,,
2024 Subaru Outback Limited,"1911 N Rand Rd Palatine, IL 60074","2,352 mi.","$39,757 ",Crystal Black Silica,Black,All-wheel Drive,26–32,Gasoline,Automatic CVT,2.5L H4 16V GDI DOHC,,,
2024 BMW X5 PHEV xDrive50e,"407 Skokie Hwy Lake Bluff, IL 60044","3,049 mi.","$84,999 ",Blue,Coffee,All-wheel Drive,–,Hybrid,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo Hybrid,None reported,Yes,Yes
2024 Toyota Highlander XLE,,2 mi.,"$46,517 MSRP $46,517",,,,,,,,,,
2012 Nissan NV Cargo S,,,,,,,,,,,,,
2006 Chrysler Crossfire Limited,,,,,,,,,,,,,
2024 Honda CR-V Hybrid Sport Touring,,,,,,,,,,,,,
2020 Lexus RX 350 Base,"430 E. Ogden Ave. Westmont, IL 60559","34,996 mi.","$36,991 $2,374 price drop",Atomic Silver,Parchment,All-wheel Drive,19–26,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,None reported,No,No
2006 Cadillac DTS w/1SC,"3128 W 147th St Posen, IL 60469","88,907 mi.","$5,799 $200 price drop",Blue,Black,Front-wheel Drive,17–25,Gasoline,Automatic,"Engine, 4.6L DOHC V8 Northstar (275 HP [205.1 kW] @ 5200 rpm, 29",None reported,No,No
2007 Ford Shelby GT500 Base,"555 S IL Route 83 Elmhurst, IL 60126","40,794 mi.","$31,495 ",Gray,Black,Rear-wheel Drive,15–21,Gasoline,6-Speed Manual,5.4L V8 32V MPFI DOHC Supercharged,None reported,No,No
2014 Lexus CT 200h Base,"404 E North Ave Lombard, IL 60148","99,068 mi.","$14,990 $900 price drop",Obsidian Black,Black,Front-wheel Drive,43–40,Hybrid,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,At least 1 accident or damage reported,No,No
2018 Cadillac CT6 3.0L Twin Turbo Platinum,"100 Skokie Blvd Northbrook, IL 60062","37,457 mi.","$40,989 ",Radiant Silver Metallic,Jet Black,All-wheel Drive,18–26,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,None reported,Yes,No
2016 Lexus CT 200h Base,"1543 Ogden Ave Downers Grove, IL 60515","173,645 mi.","$11,888 $2,000 price drop",White,Black,Front-wheel Drive,43–40,Hybrid,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,None reported,No,No
2008 Ford E250 Base,"17651 Oak Park Ave Tinley Park, IL 60477","208,237 mi.","$4,999 ",Dark Blue Pearl,Medium Flint,Rear-wheel Drive,0–0,Gasoline,Automatic,Triton 4.6L V-8 engine with 225HP,At least 1 accident or damage reported,Yes,No
2020 Mercedes-Benz CLA 250 Base 4MATIC,"250 E Golf Rd Schaumburg, IL 60173","19,168 mi.","$31,998 $1,000 price drop",Gray,Black,All-wheel Drive,23–33,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,None reported,Yes,No
2022 BMW X7 M50i Sport Utility 4D,,,,,,,,,,,,,
2024 Toyota bZ4X,"5540 Auto Court Matteson, IL 60443",4 mi.,"$52,724 ",Metal,Gray,All-wheel Drive,Automatic,Electric,JTMABACA8RA056087,704548,,,
2024 Mercedes-Benz GLC 300 Base 4MATIC,"1000 W Golf Road Hoffman Estates, IL 60169",40 mi.,"$53,615 MSRP $53,615",Black,Beige,All-wheel Drive,–,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,,,
2024 Mercedes-Benz GLE 450 4MATIC,,,,,,,,,,,,,
2024 Mercedes-Benz GLE 450 4MATIC,"1569 W. Ogden Ave. Naperville, IL 60540",9 mi.,"$78,345 ",Polar White,Macchiato,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,,,
2024 Subaru Crosstrek Premium,"2379 Aurora Avenue Naperville, IL 60540",7 mi.,"Not Priced MSRP $30,794",Crystal White Pearl,Black,All-wheel Drive,27–34,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,,,
2024 Land Rover Defender 110 P400 X-Dynamic SE,"1559 West Ogden Avenue Naperville, IL 60540",7 mi.,"$89,518 MSRP $89,518",Silicon Silver Premium Metallic,Light Oyster,Four-wheel Drive,18–23.0,Gasoline,Automatic,"3L I-6 gasoline direct injection, DOHC, variable valve control,",,,
2013 Toyota RAV4 LE,"2363 Aurora Ave Naperville, IL 60540","160,103 mi.","$10,477 $510 price drop",Shoreline Blue Pearl,Ash,Front-wheel Drive,24–31,Gasoline,6-Speed Automatic,2.5L I4 16V MPFI DOHC,None reported,Yes,Yes
2024 Toyota Corolla Hybrid LE,"6941 S. Western Ave Chicago, IL 60636",2 mi.,"$26,543 MSRP $27,043",CELESTITE,Black,Front-wheel Drive,53–46,Hybrid,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,,,
2024 Honda Pilot EX-L,"5901 South La Grange Road Countryside, IL 60525",11 mi.,"$45,895 ",Crystal Black Pearl,Black,All-wheel Drive,19–25,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC,,,
2024 Audi A5 Sportback Premium Plus,"7000 Golf Rd Morton Grove, IL 60053",13 mi.,"$53,495 ",–,–,All-wheel Drive,26–35,Hybrid,Automatic,Intercooled Turbo Gas/Electric I-4 2.0 L/121,,,
2024 Audi A4 45 S line Premium Plus,"7000 Golf Rd Morton Grove, IL 60053",13 mi.,"$53,485 ",–,–,All-wheel Drive,24–32,Hybrid,Automatic,Intercooled Turbo Gas/Electric I-4 2.0 L/121,,,
2012 MINI Cooper Countryman S,"530 W Grand Ave Elmhurst, IL 60126","140,893 mi.","$6,999 ",Red,Black,Front-wheel Drive,26–32,Gasoline,Manual,1.6L OHC 16-valve I4 VVT twin-scroll turbocharged engine,At least 1 accident or damage reported,No,No
2014 Ford Escape SE,"2038 Waukegan Rd Glenview, IL 60025","98,429 mi.","$9,595 $400 price drop",Ingot Silver Metallic,Medium Light Stone,Four-wheel Drive,22–30,Gasoline,6-Speed Automatic,1.6L I4 16V GDI DOHC Turbo,At least 1 accident or damage reported,No,No
2016 Lexus CT 200h Base,"3160 Commercial Ave Northbrook, IL 60062","82,400 mi.","$18,995 ",White,Brown,Front-wheel Drive,43–40,Hybrid,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,At least 1 accident or damage reported,No,No
2016 Lexus CT 200h F Sport,"454 East North Avenue Lombard, IL 60148","113,288 mi.","$14,995 ",Gray,Black,Front-wheel Drive,43–40,Hybrid,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,At least 1 accident or damage reported,No,No
2018 Subaru WRX STI Base,"2401 Warrenville Rd Downers Grove, IL 60515","62,804 mi.","$30,055 ",Pure Red,Black,All-wheel Drive,16–22,Gasoline,6-Speed Manual,2.5L H4 16V MPFI DOHC Turbo,None reported,Yes,No
2024 Audi S5 Premium Plus,"2490 Skokie Valley Rd Highland Park, IL 60035",10 mi.,"$67,490 MSRP $67,490",Daytona Gray,Black,All-wheel Drive,20–29,Gasoline,Automatic,Intercooled Turbo Premium Unleaded V-6 3.0 L/183,,,
2018 Volvo V60 T5 Dynamic,"4325 Lincoln Ave Lisle, IL 60532","46,701 mi.","$23,987 ",Onyx Black Metallic,Off Black,All-wheel Drive,22–33,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,At least 1 accident or damage reported,No,No
2024 Honda Accord Hybrid Touring,"9800 Indianapolis Blvd Highland, IN 46322",5 mi.,"$39,985 MSRP $39,985",Meteorite Gray Metallic,Black,Front-wheel Drive,46–41,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,,,
2020 Karma Revero GT,"27w110 North Ave West Chicago, IL 60185","17,896 mi.","$66,800 $1,000 price drop",Bodega Bay Blue,Palisades,Rear-wheel Drive,71–69,Electric with Ga,1-Speed Direct-Drive Automatic,Range-Extended Electric 536hp 550ft. lbs.,None reported,No,No
2024 Mercedes-Benz AMG G 63 4MATIC,"1000 W Golf Road Hoffman Estates, IL 60169",3 mi.,"$213,045 MSRP $213,045",Gray,Red,All-wheel Drive,–,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,,,
2016 Mercedes-Benz GLE-Class GLE 350 4MATIC,"615 E Lake St Streamwood, IL 60107","89,031 mi.","$18,995 ",BLACK,BLACK,All-wheel Drive,17–22,Gasoline,7-Speed Automatic,3.5L V6 CYLINDER,None reported,No,No
2023 Ford Escape ST-Line,"1540 West Ogden Avenue Naperville, IL 60540","12,489 mi.","$25,977 ",Carbonized Gray Metallic,Ebony,All-wheel Drive,26–32,Gasoline,Automatic,"EcoBoost 1.5L I-3 port/direct injection, DOHC, Ti-VCT variable v",None reported,Yes,No
2021 BMW X3 xDrive30i,"1250 W Division St Chicago, IL 60642","36,013 mi.","$33,367 ",Alpine White,Oyster,All-wheel Drive,23–29,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,None reported,No,No
2022 Mercedes-Benz AMG CLA 45 Base 4MATIC,"1520 W North Ave Chicago, IL 60642","15,044 mi.","$53,893 $101 price drop",Digital White,Grey,All-wheel Drive,–,Gasoline,Automatic,2.0L I4 16V PDI DOHC Turbo,None reported,No,No
2002 Acura CL 3.2 Type S,"JC from Chicago, IL 60612","73,000 mi.","$9,500 ",Red,Beige,Front-wheel Drive,Gasoline,Transmission w/Dual Shift Mode,260.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,19UYA42752A003976,None reported,Yes,No
2024 Honda Accord Hybrid Sport-L,"5901 South La Grange Road Countryside, IL 60525",5 mi.,"$35,970 ",Crystal Black Pearl,Black,Front-wheel Drive,46–41,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,,,
2024 Honda Accord Hybrid Sport,"5901 South La Grange Road Countryside, IL 60525",5 mi.,"$33,990 ",Solar Silver Metallic,Black,Front-wheel Drive,46–41,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,,,
2024 Land Rover Defender P400 X,"336 E Ogden Ave Hinsdale, IL 60521",12 mi.,"$103,828 ",Carpathian Grey,Vintage Tan,Four-wheel Drive,18–23,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,,,
2024 Hyundai Elantra Limited,"1509 S River Rd Des Plaines, IL 60018",11 mi.,"$27,189 ",Intense Blue,Black,Front-wheel Drive,31–40,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,,,
2024 Mercedes-Benz EQE 350 Base 4MATIC,"200 E Ogden Ave Westmont, IL 60559",8 mi.,"$87,525 ",Gray Metallic,Brown / Black,All-wheel Drive,1-Speed Automatic,Electric,W1KEG1CBXRF051137,RF051137,,,
2014 Chevrolet Impala Limited LTZ,"3128 W 147th St Posen, IL 60469","124,273 mi.","$8,999 ",White,Black,Front-wheel Drive,18–30,E85 Flex Fuel,Automatic,"Engine, 3.6L SIDI DOHC V6 VVT (300 hp [223.7 kW] @ 6500 rpm, 262",At least 1 accident or damage reported,No,No
2012 MINI Cooper Countryman S,"1864 Techny Court Northbrook, IL 60062","67,029 mi.","$11,990 ",Oxford Green Metallic,Polar Beige,All-wheel Drive,25–31,Gasoline,Automatic,1.6L OHC 16-valve I4 VVT twin-scroll turbocharged engine,None reported,Yes,No
2014 Volkswagen Jetta SportWagen DSG TDI,"1886 S Elmhurst Rd Mt Prospect, IL 60056","97,038 mi.","$11,480 ",Reflex Silver Metallic,Titan Black,Front-wheel Drive,29–39,Diesel,Automatic,"2L I-4 diesel direct injection, DOHC, intercooled turbo, diesel,",At least 1 accident or damage reported,Yes,No
2020 BMW 745e xDrive iPerformance,"150 W Ogden Ave Westmont, IL 60559","41,567 mi.","$43,800 ",Black Sapphire Metallic,Black,All-wheel Drive,–,Hybrid,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo Hybrid,None reported,Yes,No
2013 Volkswagen Jetta SportWagen TDI,"525 W Fullerton Ave Addison, IL 60101","152,360 mi.","$8,950 ",Candy White,Other,Front-wheel Drive,29–39,Diesel,6-Speed Automatic,"2L I-4 diesel direct injection, DOHC, intercooled turbo, diesel,",At least 1 accident or damage reported,No,No
2017 Cadillac ATS 2.0L Turbo Luxury,"1030 Republic Dr Addison, IL 60101","40,182 mi.","$24,550 ",Black Raven,Jet Black w/Jet Black Accents,All-wheel Drive,22–30,Gasoline,Automatic,"2L I-4 gasoline direct injection, DOHC, variable valve control,",None reported,No,No
2024 Land Rover Defender 110 X-Dynamic SE,"8031 W 159th St Tinley Park, IL 60477",918 mi.,"$87,540 ",Pangea Green,Ebony,Four-wheel Drive,18–23,Gasoline,Automatic,V6,,,
2013 Volkswagen Jetta SportWagen TDI,,"115,770 mi.","$9,995 ",,,,,,,,,,
2024 Mazda CX-50 2.5 S Select Package,"110 W. Golf Rd Schaumburg, IL 60195",7 mi.,"$32,095 MSRP $33,005 $910 price drop",Machine Gray Metallic,Black W/ Gray,All-wheel Drive,24–30,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,,,
2024 Honda HR-V Sport,"5505 Auto Court Matteson, IL 60443",29 mi.,"$29,550 MSRP $29,550",Red,–,All-wheel Drive,25–30,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,,,
1998 Toyota Celica GT,"2232 N Rand Rd Palatine, IL 60074","72,647 mi.","$14,990 ",Blue,Red,FWD,–,Gasoline,5-Speed Manual,2.0L,,,
2023 Ferrari 296 GTB Base,"990 N Shore Dr Lake Bluff, IL 60044",314 mi.,"$464,900 ",Red,Nero,Rear-wheel Drive,–,Hybrid,8-Speed Automatic with Auto-Shift,3.0L V6 24V GDI DOHC Twin Turbo Hybrid,None reported,Yes,No
2024 BMW 330 i xDrive,"1035 N Clark St Chicago, IL 60610",6 mi.,"$53,845 ",Gray Metallic,Black,All-wheel Drive,24–33,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,,,
2019 Volkswagen Golf SportWagen 1.8T S,,,,,,,,,,,,,
2020 Lexus RX 350L Base,"3325 W Montrose Ave Chicago, IL 60618","86,986 mi.","$31,951 ",Obsidian,Gray,All-wheel Drive,18–25,Gasoline,Automatic,"3.5L V-6 port/direct injection, DOHC, VVT-iW variable valve cont",None reported,Yes,Yes
2024 Nissan Pathfinder SV,,,,,,,,,,,,,
2024 Honda HR-V EX-L,"5901 South La Grange Road Countryside, IL 60525",5 mi.,"$31,550 ",Modern Steel Metallic,Gray,All-wheel Drive,25–30,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,,,
2024 Honda Civic Touring,"1533 S River Rd Des Plaines, IL 60018",4 mi.,"$30,524 $500 price drop",Platinum White Pearl,Gray,Front-wheel Drive,31–38,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,,,
2000 BMW M Roadster,"870 S Fiene Dr. Addison, IL 60101","171,566 mi.","$12,985 $1,000 price drop",Black,Black,Rear-wheel Drive,19–26,Gasoline,5-Speed Manual,3.2L I6 24V MPFI DOHC,At least 1 accident or damage reported,No,No
2016 Volkswagen Golf SportWagen TSI SE,"870 S Fiene Dr. Addison, IL 60101","145,302 mi.","$9,495 $490 price drop",Silver,Black,Front-wheel Drive,25–35,Gasoline,6-Speed Automatic,1.8L I4 16V GDI DOHC Turbo,At least 1 accident or damage reported,No,No
2006 INFINITI G35 G35 Sedan 4D,"1455 Bernard Drive Addison, IL 60101","121,847 mi.","$7,900 ",TAN,TAN,Rear-wheel Drive,18–23,Gasoline,Automatic,"VQ 3.5L V-6 DOHC, variable valve control, premium unleaded, engi",None reported,No,No
2024 Ford Explorer XLT,,10 mi.,"$52,090 MSRP $52,090",,,,,,,,,,
2024 Lincoln Nautilus Reserve,"1333 Park Ave West Highland Park, IL 60035",6 mi.,"$57,645 MSRP $57,645",Infinite Black Metallic,Graphite,All-wheel Drive,–,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,,,
2018 Lexus GX 460 Base,,,,,,,,,,,,,
2017 Volkswagen Golf SportWagen TSI S,"18800 South Oak Park Ave Tinley Park, IL 60477","30,163 mi.","$18,998 ",Reflex Silver Metallic,Titan Black,FWD,25–34,Gasoline,6-Speed Automatic,1.8L I4 16V GDI DOHC Turbo,,,
2024 Buick Envista Preferred FWD,,13 mi.,"$26,105 ",,,,,,,,,,
2021 Nissan Kicks S,"9604 Indianapolis Blvd Highland, IN 46322","61,775 mi.","$17,500 $200 price drop",Fresh Powder,Charcoal,Front-wheel Drive,31–36,Gasoline,Automatic CVT,1.6L I4 16V MPFI DOHC,At least 1 accident or damage reported,Yes,No
2017 Volkswagen Golf SportWagen TSI SEL,,,,,,,,,,,,,
2020 Ferrari 488 Pista Base,"27w110 North Ave West Chicago, IL 60185","3,393 mi.","$729,800 ",Extra Campiona Pearl White,Nero / Rosso FX,Rear-wheel Drive,15–20,Gasoline,7-Speed Double Clutch,3.9L Twin Turbo V8 711hp 567ft. lbs.,None reported,No,No
2019 Karma Revero Sedan,"27w110 North Ave West Chicago, IL 60185","4,199 mi.","$55,800 $1,000 price drop",Surf White,Palisades Sport,Rear-wheel Drive,59–61,Electric with Ga,1-Speed Direct-Drive Automatic,Range-Extended Electric 403hp 981ft. lbs.,None reported,Yes,No
2016 McLaren 675LT Base,"1561 N Fremont St Chicago, IL 60642","6,305 mi.","$224,133 $35,847 price drop",McLaren Orange,Carbon Black,Rear-wheel Drive,–,Gasoline,7-Speed Automatic with Auto-Shift,3.8L V8 32V MPFI DOHC Twin Turbo,At least 1 accident or damage reported,No,No
2013 Honda Civic LX,"7373 N Cicero Ave Lincolnwood, IL 60712","89,669 mi.","$10,500 $2,500 price drop",Taffeta White,Beige,Front-wheel Drive,28–39,Gasoline,Compact 5-Speed Automatic,"1.8L I-4 i-VTEC variable valve control, regular unleaded, engine",At least 1 accident or damage reported,Yes,No
2006 Lexus RX 330 Base,,"198,927 mi.","$6,999 ",,,,,,,,,,
2020 Honda Pilot EX-L,,"44,956 mi.","$26,933 ",,,,,,,,,,
2024 Mercedes-Benz EQE 350 Base 4MATIC,"200 E Ogden Ave Westmont, IL 60559",159 mi.,"$86,095 ",Black,Gray,All-wheel Drive,1-Speed Automatic,Electric,W1KEG1CB3RF047110,RF047110,,,
2023 Lucid Air Touring,"1850 Holste Rd Northbrook, IL 60062","8,770 mi.","$79,438 ",Quantum Gray Metallic,Lucid Black & Ceramic,All-wheel Drive,1-Speed Automatic,Electric Motor,50EA1TEA7PA003448,UN3919,None reported,Yes,No
2018 Volkswagen Golf SportWagen TSI S,,"104,365 mi.","$15,395 $100 price drop",,,,,,,,,,
2024 Audi Q8 55 Prestige,,,,,,,,,,,,,
2024 Audi Q7 45 Premium Plus,"2490 Skokie Valley Rd Highland Park, IL 60035",16 mi.,"$68,125 MSRP $68,125",Black,Black,All-wheel Drive,19–25,Gasoline,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/121,,,
2024 Audi Q7 45 Premium,"2490 Skokie Valley Rd Highland Park, IL 60035",4 mi.,"$63,545 MSRP $63,545",Blue,Gray,All-wheel Drive,19–25,Gasoline,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/121,,,
2019 Hyundai Santa Fe XL Limited Ultimate,"2110 Ogden Ave Lisle, IL 60532","26,334 mi.","$25,415 ",Iron Frost,Gray,Front-wheel Drive,18–23,Gasoline,6-Speed Automatic,3.3L V6 24V GDI DOHC,At least 1 accident or damage reported,Yes,No
2019 Cadillac XT4 Luxury,"250 E Golf Rd Schaumburg, IL 60173","35,128 mi.","$26,998 $1,000 price drop",White,Gray,All-wheel Drive,22–29,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,None reported,Yes,No
2024 Ford Bronco Outer Banks,"9809 Indianapolis Blvd Highland, IN 46322",10 mi.,"$51,455 ",Velocity Blue Metallic,Roast,Four-wheel Drive,20–21,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,,,
2024 Toyota Corolla Cross LE,"5540 Auto Court Matteson, IL 60443",4 mi.,"$30,134 ",Wind Chill Pearl,Black,All-wheel Drive,–,Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC,,,
2018 Ferrari GTC4Lusso V8,"27w110 North Ave West Chicago, IL 60185","10,527 mi.","$199,800 $17,000 price drop",Rosso Scuderia,Nero,Rear-wheel Drive,15–21,Gasoline,7-Speed Double Clutch,3.9L Twin Turbo V8 602hp 561ft. lbs.,None reported,No,No
2024 Mercedes-Benz Sprinter 2500 High Roof,"407 Skokie Hwy Lake Bluff, IL 60044",29 mi.,"$71,245 ",Jet Black,Black,Rear-wheel Drive,–,Diesel,9-Speed Automatic,2.0L I4 16V DDI DOHC Turbo Diesel,,,
2023 BMW 760 760i xDrive,"407 Skokie Hwy Lake Bluff, IL 60044","6,181 mi.","$97,899 $6,600 price drop",Black Sapphire Metallic,Tartufo,All-wheel Drive,18–26,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,None reported,No,No
2022 Chevrolet Blazer RS,"1515 W Ogden Ave Naperville, IL 60540","21,623 mi.","$32,386 $350 price drop",Black,Jet Black,Front-wheel Drive,19–27,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,None reported,Yes,No
2016 Kia K900 Luxury 5.0L,"198 Industry Avenue Frankfort, IL 60423","112,083 mi.","$14,994 ",Aurora Black Pearl,Brown,Rear-wheel Drive,15–23,Gasoline,8-Speed Automatic,5.0L V8 32V GDI DOHC,At least 1 accident or damage reported,Yes,No
2017 BMW 440 i xDrive,"6800 W 79th St Burbank, IL 60459","77,707 mi.","$26,980 ",Black Sapphire Metallic,Black,All-wheel Drive,0–0,Gasoline,8-Speed Automatic,3.0L STRAIGHT 6 CYLINDER,At least 1 accident or damage reported,No,No
2024 Audi RS 5 2.9T,"7000 Golf Rd Morton Grove, IL 60053",13 mi.,"$86,285 ",–,–,All-wheel Drive,18–25,Gasoline,Automatic,Twin Turbo Premium Unleaded V-6 2.9 L/177,,,
2024 Ford Maverick Lariat,,,,,,,,,,,,,
2003 Lexus LS 430 Base,,"202,797 mi.","$4,995 ",,,,,,,,,,
2024 Audi S5 3.0T Premium,"276 Ogden Ave Westmont, IL 60559",20 mi.,"$71,515 ",Mythos Black Metallic,Magma Red,All-wheel Drive,21–29,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,,,
2019 BMW 440 i xDrive,,,,,,,,,,,,,
2003 Nissan 350Z Touring,"870 S Fiene Dr. Addison, IL 60101","116,387 mi.","$12,985 ",Chrome Silver Metallic,Charcoal,Rear-wheel Drive,20–26,Gasoline,6-Speed Manual,3.5L V6 24V MPFI DOHC,At least 1 accident or damage reported,No,No
2017 Lexus NX 300h Base,"333 W Rand Rd. Mt Prospect, IL 60056","91,588 mi.","$25,000 ",Eminent White,Black,All-wheel Drive,33–30,Gasoline,Automatic,"2.5L I-4 DOHC, VVT-i variable valve control, regular unleaded, e",None reported,No,No
